timestamp,R_angle(θ),R_Torque Cmd,R_Torque Est,L_angle(θ),L_Torque Cmd,L_Torque Est,Lθ Display,Rθ Display,Lτ Display,Rτ Display
0.0005,-0.03,0.0,0.0,-0.1,0.0,0.0,-0.1,-0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.001,-0.12,0.0,0.0,-0.11,0.0,0.0,-0.1,-0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0015,-0.13,0.0,0.0,-0.13,0.0,0.0,-0.1,-0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.002,-0.11,0.0,0.0,-0.13,0.0,0.0,-0.1,-0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0025,-0.07,0.0,0.0,-0.13,0.0,0.0,-0.1,-0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.003,0.09,0.0,0.0,-0.13,0.0,0.0,-0.1,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0035,0.48,0.0,0.0,-0.1,0.0,0.0,-0.1,0.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.004,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0045,0.89,0.0,0.0,0.13,0.0,0.0,0.1,0.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.005,0.89,0.0,0.0,0.33,0.0,0.0,0.3,0.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0055,0.88,0.0,0.0,0.4,0.0,0.0,0.4,0.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.006,0.84,0.0,0.0,0.44,0.0,0.0,0.4,0.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0065,0.73,0.0,0.0,0.46,0.0,0.0,0.5,0.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.007,0.59,0.0,0.0,0.43,0.0,0.0,0.4,0.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0075,0.6,0.0,0.0,0.37,0.0,0.0,0.4,0.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.008,1.16,0.0,0.0,0.25,0.0,0.0,0.2,1.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0085,3.07,0.0,0.0,0.13,0.0,0.0,0.1,3.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.009,5.94,0.0,0.0,0.16,0.0,0.0,0.2,5.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0095,7.38,0.0,0.0,0.17,0.0,0.0,0.2,7.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.01,8.21,0.0,0.0,0.23,0.0,0.0,0.2,8.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0105,5.49,0.0,0.0,0.31,0.0,0.0,0.3,5.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.011,2.19,0.0,0.0,0.63,0.0,0.0,0.6,2.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0115,-0.99,0.0,0.0,0.94,0.0,0.0,0.9,-1.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.012,-0.19,0.0,0.0,0.99,0.0,0.0,1.0,-0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0125,2.03,0.0,0.0,0.83,0.0,0.0,0.8,2.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.013,4.3,0.0,0.0,0.68,0.0,0.0,0.7,4.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0135,7.34,0.0,0.0,0.61,0.0,0.0,0.6,7.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.014,10.49,0.0,0.0,0.58,0.0,0.0,0.6,10.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0145,10.48,0.0,0.0,0.69,0.0,0.0,0.7,10.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.015,8.35,0.0,0.0,0.8,0.0,0.0,0.8,8.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0155,5.16,0.0,0.0,0.77,0.0,0.0,0.8,5.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.016,1.83,0.0,0.0,0.64,0.0,0.0,0.6,1.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0165,0.74,0.0,0.0,0.53,0.0,0.0,0.5,0.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.017,0.87,0.0,0.0,0.46,0.0,0.0,0.5,0.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0175,3.9,0.0,0.0,0.4,0.0,0.0,0.4,3.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.018,6.15,0.0,0.0,0.44,0.0,0.0,0.4,6.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0185,8.71,0.0,0.0,0.52,0.0,0.0,0.5,8.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.019,10.56,0.0,0.0,0.6,0.0,0.0,0.6,10.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0195,10.23,0.0,0.0,0.65,0.0,0.0,0.7,10.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.02,8.26,0.0,0.0,0.64,0.0,0.0,0.6,8.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0205,5.12,0.0,0.0,0.62,0.0,0.0,0.6,5.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.021,2.65,0.0,0.0,0.51,0.0,0.0,0.5,2.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0215,2.96,0.0,0.0,0.49,0.0,0.0,0.5,3.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.022,5.63,0.0,0.0,0.51,0.0,0.0,0.5,5.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0225,9.11,0.0,0.0,0.65,0.0,0.0,0.7,9.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.023,12.11,0.0,0.0,0.88,0.0,0.0,0.9,12.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0235,13.26,0.0,0.0,1.01,0.0,0.0,1.0,13.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.024,10.77,0.0,0.0,1.17,0.0,0.0,1.2,10.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0245,5.97,0.05,0.0,1.44,0.0,0.0,1.4,6.0,0.0 (cmd 0.1),0.0 (cmd 0.0)
0.025,3.15,0.02,0.0,1.42,0.0,0.0,1.4,3.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0255,2.21,0.01,0.0,1.45,0.0,0.0,1.4,2.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.026,3.95,0.0,0.0,1.7,0.0,0.0,1.7,4.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0265,8.39,0.0,0.0,1.98,0.0,0.0,2.0,8.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.027,11.45,0.0,0.0,2.09,0.0,0.0,2.1,11.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0275,14.48,0.0,0.0,2.13,0.0,0.0,2.1,14.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.028,15.79,0.0,0.0,2.15,0.0,0.0,2.1,15.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0285,14.81,0.0,0.0,2.21,0.0,0.0,2.2,14.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.029,12.4,0.0,0.0,2.23,0.0,0.0,2.2,12.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0295,9.83,0.0,0.0,2.22,0.0,0.0,2.2,9.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.03,7.36,0.0,0.0,2.19,0.0,0.0,2.2,7.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0305,6.75,0.0,0.0,2.17,0.0,0.0,2.2,6.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
