timestamp,R_angle(θ),R_Torque Cmd,R_Torque Est,L_angle(θ),L_Torque Cmd,L_Torque Est,Lθ Display,Rθ Display,Lτ Display,Rτ Display
0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.001,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0015,0.01,0.0,0.0,-0.01,0.0,0.0,-0.0,0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.002,0.02,0.0,0.0,-0.01,0.0,0.0,-0.0,0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0025,0.03,0.0,0.0,-0.01,0.0,0.0,-0.0,0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.003,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0035,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.004,0.09,0.0,0.0,0.01,0.0,0.0,0.0,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0045,0.09,0.0,0.0,0.01,0.0,0.0,0.0,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.005,0.09,0.0,0.0,0.02,0.0,0.0,0.0,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0055,0.09,0.0,0.0,0.03,0.0,0.0,0.0,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.006,0.11,0.0,0.0,0.03,0.0,0.0,0.0,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0065,0.15,0.0,0.0,0.04,0.0,0.0,0.0,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.007,0.18,0.0,0.0,0.02,0.0,0.0,0.0,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0075,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.008,0.22,0.0,0.0,-0.01,0.0,0.0,-0.0,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0085,0.21,0.0,0.0,-0.03,0.0,0.0,-0.0,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.009,0.26,0.0,0.0,-0.09,0.0,0.0,-0.1,0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0095,0.27,0.0,0.0,-0.14,0.0,0.0,-0.1,0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.01,0.19,0.0,0.0,-0.11,0.0,0.0,-0.1,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0105,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.011,0.13,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0115,0.25,0.0,0.0,0.12,0.0,0.0,0.1,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
