timestamp,R_angle(θ),R_Torque Cmd,R_Torque Est,L_angle(θ),L_Torque Cmd,L_Torque Est,Lθ Display,Rθ Display,Lτ Display,Rτ Display
0.0005,-0.18,0.0,0.0,-1.65,0.0,0.0,-1.6,-0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.001,-0.18,0.0,0.0,-1.82,0.0,0.0,-1.8,-0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0015,-0.24,0.0,0.0,-2.03,0.0,0.0,-2.0,-0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.002,-0.41,0.0,0.0,-2.2,0.0,0.0,-2.2,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0025,-0.54,0.0,0.0,-2.32,0.0,0.0,-2.3,-0.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.003,-0.53,0.0,0.0,-2.43,0.0,0.0,-2.4,-0.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0035,-0.6,0.0,0.0,-2.51,0.0,0.0,-2.5,-0.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.004,-0.75,0.0,0.0,-2.61,0.0,0.0,-2.6,-0.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0045,-0.78,0.0,0.0,-2.68,0.0,0.0,-2.7,-0.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.005,-0.78,0.0,0.0,-2.76,0.0,0.0,-2.8,-0.8,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0055,-0.73,0.0,0.0,-2.81,0.0,0.0,-2.8,-0.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.006,-0.6,0.0,0.0,-2.75,0.0,0.0,-2.8,-0.6,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0065,-0.36,0.0,0.0,-2.57,0.0,0.0,-2.6,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.007,-0.01,0.0,0.0,-2.34,0.0,0.0,-2.3,-0.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0075,0.72,0.0,0.0,-1.78,0.0,0.0,-1.8,0.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.008,1.11,0.0,0.0,-1.53,0.0,0.0,-1.5,1.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0085,1.15,0.0,0.0,-1.5,0.0,0.0,-1.5,1.1,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.009,1.03,0.0,0.0,-1.68,0.0,0.0,-1.7,1.0,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0095,0.91,0.0,0.0,-2.2,0.0,0.0,-2.2,0.9,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.01,0.17,0.0,0.0,-2.61,0.0,0.0,-2.6,0.2,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0105,-0.45,0.0,0.0,-2.79,0.0,0.0,-2.8,-0.5,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.011,-0.37,0.0,0.0,-3.05,0.0,0.0,-3.0,-0.4,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0115,-0.27,0.0,0.0,-3.29,0.0,0.0,-3.3,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.012,-0.28,0.0,0.0,-3.39,0.0,0.0,-3.4,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0125,-0.3,0.0,0.0,-3.42,0.0,0.0,-3.4,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.013,-0.35,0.0,0.0,-3.58,0.0,0.0,-3.6,-0.3,0.0 (cmd 0.0),0.0 (cmd 0.0)
0.0135,-0.65,0.0,0.0,-3.91,0.0,0.0,-3.9,-0.7,0.0 (cmd 0.0),0.0 (cmd 0.0)
